sample_id,true_digit,is_anomaly,reconstruction_loss,leaf_assignment
0,5,0,136.01285,0
1,0,0,133.1144,0
2,4,0,133.80067,0
3,1,0,94.84249,0
4,9,0,121.70817,0
5,1,0,90.55818,0
6,3,0,77.202515,1
7,1,0,85.04754,0
8,4,0,83.7928,1
9,3,0,116.01425,0
10,5,0,109.0532,0
11,3,0,86.909485,1
12,6,0,143.54494,0
13,1,0,88.45589,0
14,7,0,113.50677,0
15,8,0,134.6766,0
16,6,0,129.95206,0
17,9,0,113.38734,0
18,4,0,81.38381,1
19,0,0,131.61597,0
20,9,0,129.14331,0
21,1,0,92.23024,0
22,1,0,133.08716,0
23,4,0,120.95934,0
24,3,0,85.22474,1
25,7,0,115.35828,0
26,3,0,134.75252,0
27,8,0,129.13318,0
28,6,0,141.52905,0
29,9,0,116.625046,0
30,0,0,72.928566,1
31,5,0,142.75687,0
32,7,1,264.29642,0
33,2,1,307.50204,1
34,1,1,128.61603,0
35,0,1,260.49414,0
36,4,1,352.70328,1
37,1,1,145.37863,0
38,4,1,278.66354,0
39,9,1,262.25513,0
40,5,1,337.03632,0
41,9,1,207.9758,0
42,0,1,339.0646,0
43,6,1,345.49078,0
44,9,1,183.38734,0
45,0,1,275.85535,0
46,1,1,120.37057,0
47,5,1,297.4394,0
48,9,1,320.17505,1
49,7,1,266.14023,0
50,3,1,323.5345,0
51,4,1,163.07016,0
52,9,1,178.89238,0
53,6,1,212.57849,0
54,6,1,306.81042,0
55,5,1,215.63417,0
56,4,1,194.54964,0
57,0,1,489.91754,1
58,7,1,235.93723,0
59,4,1,250.22418,0
60,0,1,338.12173,1
61,1,1,103.995735,0
62,3,1,312.25092,1
63,1,1,114.72864,0
64,3,1,205.64778,1
65,4,1,303.34033,0
66,7,1,219.96126,0
67,2,1,372.61575,1
68,7,1,267.44745,0
69,1,1,86.68359,0
70,2,1,243.5101,0
71,1,1,143.05063,0
72,1,1,97.16863,0
73,7,1,198.12054,0
74,4,1,264.05893,0
75,2,1,223.91104,0
76,3,1,211.53627,0
77,5,1,283.58038,1
78,1,1,175.01749,0
79,2,1,227.60501,0
80,4,1,274.7964,1
81,4,1,295.9809,1
82,6,1,261.19354,0
83,3,1,309.88736,1
84,5,1,257.58832,0
85,5,1,273.19022,0
86,6,1,405.5533,0
87,0,1,295.88223,0
88,4,1,255.27814,1
89,1,1,142.64694,0
90,9,1,293.20816,0
91,5,1,153.07568,0
92,7,1,256.38153,0
93,8,1,356.59314,0
94,9,1,185.01436,0
95,3,1,202.8792,0
96,7,1,393.18295,0
97,4,1,147.78616,0
98,6,1,314.17975,0
99,4,1,289.67673,0
100,3,1,213.63406,1
101,0,1,369.44757,0
102,7,1,264.86285,0
103,0,1,401.81894,1
104,2,1,362.68607,0
105,9,1,193.03714,0
106,1,1,100.37278,0
107,7,1,241.58838,0
108,3,1,226.69167,0
109,2,1,248.50734,0
110,9,1,172.9864,0
111,7,1,357.43304,0
112,7,1,228.83304,0
113,6,1,171.68362,0
114,2,1,344.9166,0
115,7,1,235.0243,0
116,8,1,329.2302,0
117,4,1,232.80396,1
118,7,1,222.64394,0
119,3,1,294.94263,0
120,6,1,274.6727,0
121,1,1,141.01704,0
122,3,1,283.30658,1
123,6,1,156.32498,0
124,9,1,172.64056,0
125,3,1,212.7226,1
